 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
188.185.208.98 - - [26/Apr/2019 11:47:04] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:07] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:07] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:07] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:08] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:47:08] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:08] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:08] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:08] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:47:09] "GET /tick HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:11] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:12] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:13] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:13] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:14] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:15] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:15] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:16] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:16] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:16] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:17] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:17] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:17] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:18] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:19] "GET /tick HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:20] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:21] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:21] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:23] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:24] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:24] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:24] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:25] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:25] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:26] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:26] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:27] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:27] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:27] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:28] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:28] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:28] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:29] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:29] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:47:29] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:29] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:29] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:30] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:47:30] "GET /? HTTP/1.1" 200 -
